cell                                     n     exp     t  defl    PF   maxDD  GATE
NZDUSD.saleh_gator_cmo.S               793  -0.033 -0.71 -2.21  0.95   -82.9  fail
NZDUSD.saleh_gator_rs.L                454  -0.063 -0.98 -2.48  0.90   -46.3  fail
NZDUSD.saleh_gator_rs.S                459  -0.105 -1.80 -3.30  0.83   -56.8  fail
NZDUSD.saleh_gator_htf.L               599  -0.125 -2.34 -3.84  0.81   -81.8  fail
NZDUSD.saleh_gator_htf.S               719  -0.085 -1.79 -3.29  0.87   -91.5  fail
EURGBP.saleh_squeeze.L                  69  +0.320  0.72 -0.78  1.47   -13.2  fail
EURGBP.saleh_squeeze.S                  76  -0.099 -0.68 -2.18  0.85   -14.3  fail
EURGBP.saleh_ema_bank.L                353  -0.129 -1.75 -3.25  0.82   -52.2  fail
EURGBP.saleh_ema_bank.S                393  -0.149 -2.19 -3.69  0.79   -72.9  fail
EURGBP.saleh_turtle.L                  379  -0.171 -2.38 -3.88  0.78   -69.9  fail
EURGBP.saleh_turtle.S                  352  -0.144 -1.94 -3.44  0.81   -57.5  fail
EURGBP.saleh_kama_dir.L               1272  -0.127 -3.01 -4.51  0.81  -163.7  fail
EURGBP.saleh_kama_dir.S               1311  -0.138 -3.98 -5.48  0.79  -188.0  fail
EURGBP.saleh_kama_er.L                1104  -0.162 -4.12 -5.62  0.76  -180.3  fail
EURGBP.saleh_kama_er.S                1112  -0.129 -3.42 -4.92  0.80  -150.5  fail
EURGBP.saleh_gator_dir.L               964  -0.163 -3.70 -5.20  0.76  -158.4  fail
EURGBP.saleh_gator_dir.S              1035  -0.150 -3.89 -5.39  0.77  -158.1  fail
EURGBP.saleh_gator_adx.L               485  -0.206 -3.64 -5.14  0.70  -100.9  fail
EURGBP.saleh_gator_adx.S               672  -0.158 -3.35 -4.85  0.76  -110.9  fail
EURGBP.saleh_gator_cmo.L               690  -0.182 -3.67 -5.17  0.73  -128.1  fail
EURGBP.saleh_gator_cmo.S               732  -0.137 -2.97 -4.47  0.79  -102.9  fail
EURGBP.saleh_gator_rs.L                400  -0.148 -2.26 -3.76  0.78   -64.4  fail
EURGBP.saleh_gator_rs.S                483  -0.097 -1.66 -3.16  0.85   -75.1  fail
EURGBP.saleh_gator_htf.L               594  -0.143 -2.45 -3.95  0.79   -84.1  fail
EURGBP.saleh_gator_htf.S               725  -0.143 -3.08 -4.58  0.78  -106.9  fail
EURCHF.saleh_squeeze.L                  66  -0.230 -1.36 -2.86  0.68   -16.6  fail
EURCHF.saleh_squeeze.S                 108  -0.128 -1.03 -2.53  0.81   -23.4  fail
EURCHF.saleh_ema_bank.L                341  -0.286 -4.13 -5.63  0.62  -109.0  fail
EURCHF.saleh_ema_bank.S                361  +0.049  0.67 -0.83  1.08   -26.0  fail
EURCHF.saleh_turtle.L                  335  -0.085 -0.53 -2.03  0.89   -73.4  fail
EURCHF.saleh_turtle.S                  329  -0.118 -1.54 -3.04  0.84   -41.6  fail
EURCHF.saleh_kama_dir.L               1285  -0.128 -2.07 -3.57  0.82  -183.7  fail
EURCHF.saleh_kama_dir.S               1274  -0.014 -0.38 -1.88  0.98   -46.3  fail
EURCHF.saleh_kama_er.L                1107  -0.141 -2.44 -3.94  0.80  -167.0  fail
EURCHF.saleh_kama_er.S                1132  +0.002  0.05 -1.45  1.00   -43.2  fail
EURCHF.saleh_gator_dir.L               990  -0.184 -3.67 -5.17  0.74  -185.7  fail
EURCHF.saleh_gator_dir.S              1055  -0.046 -1.18 -2.68  0.92   -60.0  fail
EURCHF.saleh_gator_adx.L               444  -0.286 -3.91 -5.41  0.62  -132.7  fail
EURCHF.saleh_gator_adx.S               803  -0.055 -1.23 -2.73  0.91   -56.9  fail
EURCHF.saleh_gator_cmo.L               724  -0.213 -3.52 -5.02  0.71  -156.2  fail
EURCHF.saleh_gator_cmo.S               819  -0.096 -2.18 -3.68  0.85   -87.1  fail
EURCHF.saleh_gator_rs.L                402  -0.051 -0.54 -2.04  0.92   -42.0  fail
EURCHF.saleh_gator_rs.S                466  +0.012  0.20 -1.30  1.02   -27.4  fail
EURCHF.saleh_gator_htf.L               516  -1.758 -1.24 -2.74  0.19  -909.7  fail
EURCHF.saleh_gator_htf.S               863  -0.037 -0.86 -2.36  0.94   -47.9  fail
AUDJPY.saleh_ema_bank.L                349  -0.046 -0.57 -2.07  0.93   -31.2  fail
AUDJPY.saleh_ema_bank.S                239  -0.269 -3.25 -4.75  0.63   -71.9  fail
AUDJPY.saleh_turtle.L                  386  +0.072  0.96 -0.54  1.11   -24.0  fail
AUDJPY.saleh_turtle.S                  303  -0.067 -0.84 -2.34  0.90   -43.0  fail
AUDJPY.saleh_kama_dir.L               1102  +0.060  1.46 -0.04  1.10   -21.7  fail
AUDJPY.saleh_kama_dir.S               1073  -0.060 -1.53 -3.03  0.90   -92.0  fail
AUDJPY.saleh_kama_er.L                 940  +0.062  1.39 -0.11  1.11   -25.9  fail
AUDJPY.saleh_kama_er.S                 914  -0.089 -2.15 -3.65  0.86   -98.7  fail
AUDJPY.saleh_gator_dir.L               948  +0.025  0.58 -0.92  1.04   -32.2  fail
AUDJPY.saleh_gator_dir.S               751  -0.048 -1.02 -2.52  0.92   -61.8  fail
AUDJPY.saleh_gator_adx.L               489  -0.031 -0.52 -2.02  0.95   -42.9  fail
AUDJPY.saleh_gator_adx.S               514  -0.009 -0.17 -1.67  0.98   -34.9  fail
AUDJPY.saleh_gator_cmo.L               719  +0.049  0.97 -0.53  1.08   -22.9  fail
AUDJPY.saleh_gator_cmo.S               559  -0.028 -0.50 -2.00  0.95   -54.8  fail
AUDJPY.saleh_gator_rs.L                437  -0.069 -1.12 -2.62  0.89   -40.1  fail
AUDJPY.saleh_gator_rs.S                333  -0.218 -3.42 -4.92  0.66   -74.1  fail
AUDJPY.saleh_gator_htf.L               759  +0.035  0.72 -0.78  1.06   -34.1  fail
AUDJPY.saleh_gator_htf.S               377  -0.053 -0.79 -2.29  0.92   -38.4  fail
CADJPY.saleh_squeeze.L                  62  -0.231 -1.44 -2.94  0.67   -15.5  fail
CADJPY.saleh_squeeze.S                  71  -0.095 -0.60 -2.10  0.86   -12.6  fail
CADJPY.saleh_ema_bank.L                375  +0.015  0.20 -1.30  1.02   -21.2  fail
CADJPY.saleh_ema_bank.S                288  -0.168 -2.10 -3.60  0.76   -49.9  fail
CADJPY.saleh_turtle.L                  444  +0.011  0.16 -1.34  1.02   -29.1  fail
CADJPY.saleh_turtle.S                  371  -0.060 -0.83 -2.33  0.91   -48.6  fail
CADJPY.saleh_kama_dir.L               1308  +0.006  0.16 -1.34  1.01   -58.2  fail
CADJPY.saleh_kama_dir.S               1297  -0.050 -1.40 -2.90  0.92   -83.3  fail
CADJPY.saleh_kama_er.L                1156  +0.018  0.46 -1.04  1.03   -53.1  fail
CADJPY.saleh_kama_er.S                1140  -0.046 -1.19 -2.69  0.93   -84.1  fail
CADJPY.saleh_gator_dir.L              1159  -0.021 -0.54 -2.04  0.97   -41.1  fail
CADJPY.saleh_gator_dir.S               954  -0.069 -1.67 -3.17  0.89   -84.6  fail
CADJPY.saleh_gator_adx.L               596  -0.102 -1.96 -3.46  0.84   -70.9  fail
CADJPY.saleh_gator_adx.S               677  -0.043 -0.87 -2.37  0.93   -53.0  fail
CADJPY.saleh_gator_cmo.L               861  -0.003 -0.07 -1.57  1.00   -39.0  fail
CADJPY.saleh_gator_cmo.S               706  -0.091 -1.90 -3.40  0.86   -75.4  fail
CADJPY.saleh_gator_rs.L                518  -0.021 -0.36 -1.86  0.97   -27.2  fail
CADJPY.saleh_gator_rs.S                411  -0.075 -1.24 -2.74  0.87   -44.3  fail
CADJPY.saleh_gator_htf.L               871  -0.041 -0.93 -2.43  0.93   -48.9  fail
CADJPY.saleh_gator_htf.S               535  -0.085 -1.55 -3.05  0.86   -64.7  fail
NZDJPY.saleh_squeeze.S                  80  +0.023  0.16 -1.34  1.04    -9.4  fail
NZDJPY.saleh_ema_bank.L                374  -0.074 -1.02 -2.52  0.89   -40.0  fail
NZDJPY.saleh_ema_bank.S                294  -0.101 -1.30 -2.80  0.85   -30.5  fail
